G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 20 2021,7:00p,,Box Score,@,Detroit Pistons,W,,94,88,1,0,W 1,
2,Fri Oct 22 2021,8:00p,,Box Score,,New Orleans Pelicans,W,,128,112,2,0,W 2,
3,Sat Oct 23 2021,8:00p,,Box Score,,Detroit Pistons,W,,97,82,3,0,W 3,
4,Mon Oct 25 2021,7:30p,,Box Score,@,Toronto Raptors,W,,111,108,4,0,W 4,
5,Thu Oct 28 2021,8:00p,,Box Score,,New York Knicks,L,,103,104,4,1,L 1,
6,Sat Oct 30 2021,8:00p,,Box Score,,Utah Jazz,W,,107,99,5,1,W 1,
7,Mon Nov 1 2021,7:30p,,Box Score,@,Boston Celtics,W,,128,114,6,1,W 2,
8,Wed Nov 3 2021,7:00p,,Box Score,@,Philadelphia 76ers,L,,98,103,6,2,L 1,
9,Sat Nov 6 2021,8:00p,,Box Score,,Philadelphia 76ers,L,,105,114,6,3,L 2,
10,Mon Nov 8 2021,8:00p,,Box Score,,Brooklyn Nets,W,,118,95,7,3,W 1,
11,Wed Nov 10 2021,8:00p,,Box Score,,Dallas Mavericks,W,,117,107,8,3,W 2,
12,Fri Nov 12 2021,10:00p,,Box Score,@,Golden State Warriors,L,,93,119,8,4,L 1,
13,Sun Nov 14 2021,9:30p,,Box Score,@,Los Angeles Clippers,W,,100,90,9,4,W 1,
14,Mon Nov 15 2021,10:30p,,Box Score,@,Los Angeles Lakers,W,,121,103,10,4,W 2,
15,Wed Nov 17 2021,10:00p,,Box Score,@,Portland Trail Blazers,L,,107,112,10,5,L 1,
16,Fri Nov 19 2021,9:00p,,Box Score,@,Denver Nuggets,W,,114,108,11,5,W 1,
17,Sun Nov 21 2021,8:00p,,Box Score,,New York Knicks,W,,109,103,12,5,W 2,
18,Mon Nov 22 2021,8:00p,,Box Score,,Indiana Pacers,L,,77,109,12,6,L 1,
19,Wed Nov 24 2021,8:00p,,Box Score,@,Houston Rockets,L,,113,118,12,7,L 2,
20,Fri Nov 26 2021,7:00p,,Box Score,@,Orlando Magic,W,,123,88,13,7,W 1,
21,Sat Nov 27 2021,8:00p,,Box Score,,Miami Heat,L,,104,107,13,8,L 1,
22,Mon Nov 29 2021,8:00p,,Box Score,,Charlotte Hornets,W,,133,119,14,8,W 1,
23,Thu Dec 2 2021,7:30p,,Box Score,@,New York Knicks,W,,119,115,15,8,W 2,
24,Sat Dec 4 2021,8:00p,,Box Score,@,Brooklyn Nets,W,,111,107,16,8,W 3,
25,Mon Dec 6 2021,8:00p,,Box Score,,Denver Nuggets,W,,109,97,17,8,W 4,
26,Wed Dec 8 2021,7:00p,,Box Score,@,Cleveland Cavaliers,L,,92,115,17,9,L 1,
27,Sat Dec 11 2021,8:00p,,Box Score,@,Miami Heat,L,,92,118,17,10,L 2,
28,Sun Dec 19 2021,8:00p,,Box Score,,Los Angeles Lakers,W,,115,110,18,10,W 1,
29,Mon Dec 20 2021,8:00p,,Box Score,,Houston Rockets,W,,133,118,19,10,W 2,
30,Sun Dec 26 2021,8:00p,,Box Score,,Indiana Pacers,W,,113,105,20,10,W 3,
31,Mon Dec 27 2021,7:30p,,Box Score,@,Atlanta Hawks,W,,130,118,21,10,W 4,
32,Wed Dec 29 2021,8:00p,,Box Score,,Atlanta Hawks,W,,131,117,22,10,W 5,
33,Fri Dec 31 2021,3:00p,,Box Score,@,Indiana Pacers,W,,108,106,23,10,W 6,
34,Sat Jan 1 2022,7:00p,,Box Score,@,Washington Wizards,W,,120,119,24,10,W 7,
35,Mon Jan 3 2022,8:00p,,Box Score,,Orlando Magic,W,,102,98,25,10,W 8,
36,Fri Jan 7 2022,8:00p,,Box Score,,Washington Wizards,W,,130,122,26,10,W 9,
37,Sun Jan 9 2022,7:30p,,Box Score,@,Dallas Mavericks,L,,99,113,26,11,L 1,
38,Tue Jan 11 2022,8:00p,,Box Score,,Detroit Pistons,W,,133,87,27,11,W 1,
39,Wed Jan 12 2022,10:00p,,Box Score,,Brooklyn Nets,L,,112,138,27,12,L 1,
40,Fri Jan 14 2022,7:30p,,Box Score,,Golden State Warriors,L,,96,138,27,13,L 2,
41,Sat Jan 15 2022,8:30p,,Box Score,@,Boston Celtics,L,,112,114,27,14,L 3,
42,Mon Jan 17 2022,3:30p,,Box Score,@,Memphis Grizzlies,L,,106,119,27,15,L 4,
43,Wed Jan 19 2022,8:00p,,Box Score,,Cleveland Cavaliers,W,,117,104,28,15,W 1,
44,Fri Jan 21 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,90,94,28,16,L 1,
45,Sun Jan 23 2022,6:00p,,Box Score,@,Orlando Magic,L,,95,114,28,17,L 2,
46,Mon Jan 24 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,111,110,29,17,W 1,
47,Wed Jan 26 2022,8:00p,,Box Score,,Toronto Raptors,W,,111,105,30,17,W 2,
48,Fri Jan 28 2022,8:30p,,Box Score,@,San Antonio Spurs,L,,122,131,30,18,L 1,
49,Sun Jan 30 2022,3:30p,,Box Score,,Portland Trail Blazers,W,,130,116,31,18,W 1,
50,Tue Feb 1 2022,8:00p,,Box Score,,Orlando Magic,W,,126,115,32,18,W 2,
51,Thu Feb 3 2022,7:30p,,Box Score,@,Toronto Raptors,L,OT,120,127,32,19,L 1,
52,Fri Feb 4 2022,7:00p,,Box Score,@,Indiana Pacers,W,,122,115,33,19,W 1,
53,Sun Feb 6 2022,3:30p,,Box Score,,Philadelphia 76ers,L,,108,119,33,20,L 1,
