G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Apr 17 2022,3:30p,,Box Score,,Brooklyn Nets,W,,115,114,1,0,W 1,
2,Wed Apr 20 2022,7:00p,,Box Score,,Brooklyn Nets,W,,114,107,2,0,W 2,
3,Sat Apr 23 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,109,103,3,0,W 3,
4,Mon Apr 25 2022,7:00p,,Box Score,@,Brooklyn Nets,W,,116,112,4,0,W 4,
5,Sun May 1 2022,1:00p,,Box Score,,Milwaukee Bucks,L,,89,101,4,1,L 1,
6,Tue May 3 2022,7:00p,,Box Score,,Milwaukee Bucks,W,,109,86,5,1,W 1,
7,Sat May 7 2022,3:30p,,Box Score,@,Milwaukee Bucks,L,,101,103,5,2,L 1,
8,Mon May 9 2022,7:30p,,Box Score,@,Milwaukee Bucks,W,,116,108,6,2,W 1,
9,Wed May 11 2022,7:00p,,Box Score,,Milwaukee Bucks,L,,107,110,6,3,L 1,
10,Fri May 13 2022,7:30p,,Box Score,@,Milwaukee Bucks,W,,108,95,7,3,W 1,
11,Sun May 15 2022,3:30p,,Box Score,,Milwaukee Bucks,W,,109,81,8,3,W 2,
12,Tue May 17 2022,8:30p,,Box Score,@,Miami Heat,L,,107,118,8,4,L 1,
13,Thu May 19 2022,8:30p,,Box Score,@,Miami Heat,W,,127,102,9,4,W 1,
14,Sat May 21 2022,8:30p,,Box Score,,Miami Heat,L,,103,109,9,5,L 1,
15,Mon May 23 2022,8:30p,,Box Score,,Miami Heat,W,,102,82,10,5,W 1,
16,Wed May 25 2022,8:30p,,,@,Miami Heat,,,,,,,,
17,Fri May 27 2022,8:30p,,,,Miami Heat,,,,,,,,
18,Sun May 29 2022,,,,@,Miami Heat,,,,,,,,
