G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Apr 17 2022,1:00p,,Box Score,,Atlanta Hawks,W,,115,91,1,0,W 1,
2,Tue Apr 19 2022,7:30p,,Box Score,,Atlanta Hawks,W,,115,105,2,0,W 2,
3,Fri Apr 22 2022,7:45p,,Box Score,@,Atlanta Hawks,L,,110,111,2,1,L 1,
4,Sun Apr 24 2022,7:00p,,Box Score,@,Atlanta Hawks,W,,110,86,3,1,W 1,
5,Tue Apr 26 2022,7:00p,,Box Score,,Atlanta Hawks,W,,97,94,4,1,W 2,
6,Mon May 2 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,106,92,5,1,W 3,
7,Wed May 4 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,119,103,6,1,W 4,
8,Fri May 6 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,79,99,6,2,L 1,
9,Sun May 8 2022,8:00p,,Box Score,@,Philadelphia 76ers,L,,108,116,6,3,L 2,
10,Tue May 10 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,120,85,7,3,W 1,
11,Thu May 12 2022,7:00p,,Box Score,@,Philadelphia 76ers,W,,99,90,8,3,W 2,
12,Tue May 17 2022,8:30p,,Box Score,,Boston Celtics,W,,118,107,9,3,W 3,
13,Thu May 19 2022,8:30p,,Box Score,,Boston Celtics,L,,102,127,9,4,L 1,
14,Sat May 21 2022,8:30p,,Box Score,@,Boston Celtics,W,,109,103,10,4,W 1,
15,Mon May 23 2022,8:30p,,Box Score,@,Boston Celtics,L,,82,102,10,5,L 1,
16,Wed May 25 2022,8:30p,,,,Boston Celtics,,,,,,,,
17,Fri May 27 2022,8:30p,,,@,Boston Celtics,,,,,,,,
18,Sun May 29 2022,,,,,Boston Celtics,,,,,,,,
