G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 16 2022,1:00p,,Box Score,,Utah Jazz,L,,93,99,0,1,L 1,
2,Mon Apr 18 2022,8:30p,,Box Score,,Utah Jazz,W,,110,104,1,1,W 1,
3,Thu Apr 21 2022,9:00p,,Box Score,@,Utah Jazz,W,,126,118,2,1,W 2,
4,Sat Apr 23 2022,4:30p,,Box Score,@,Utah Jazz,L,,99,100,2,2,L 1,
5,Mon Apr 25 2022,9:30p,,Box Score,,Utah Jazz,W,,102,77,3,2,W 1,
6,Thu Apr 28 2022,10:00p,,Box Score,@,Utah Jazz,W,,98,96,4,2,W 2,
7,Mon May 2 2022,10:00p,,Box Score,@,Phoenix Suns,L,,114,121,4,3,L 1,
8,Wed May 4 2022,10:00p,,Box Score,@,Phoenix Suns,L,,109,129,4,4,L 2,
9,Fri May 6 2022,9:30p,,Box Score,,Phoenix Suns,W,,103,94,5,4,W 1,
10,Sun May 8 2022,3:30p,,Box Score,,Phoenix Suns,W,,111,101,6,4,W 2,
11,Tue May 10 2022,10:00p,,Box Score,@,Phoenix Suns,L,,80,110,6,5,L 1,
12,Thu May 12 2022,9:30p,,Box Score,,Phoenix Suns,W,,113,86,7,5,W 1,
13,Sun May 15 2022,8:00p,,Box Score,@,Phoenix Suns,W,,123,90,8,5,W 2,
14,Wed May 18 2022,9:00p,,Box Score,@,Golden State Warriors,L,,87,112,8,6,L 1,
15,Fri May 20 2022,9:00p,,Box Score,@,Golden State Warriors,L,,117,126,8,7,L 2,
16,Sun May 22 2022,9:00p,,Box Score,,Golden State Warriors,L,,100,109,8,8,L 3,
17,Tue May 24 2022,9:00p,,,,Golden State Warriors,,,,,,,,
18,Thu May 26 2022,,,,@,Golden State Warriors,,,,,,,,
19,Sat May 28 2022,,,,,Golden State Warriors,,,,,,,,
20,Mon May 30 2022,,,,@,Golden State Warriors,,,,,,,,
